Name,SetId,Number
"Cinderace","","SWSH112"
"Cinderace","","SWSH278"
"Cinderace ex","","38"
"Cinderace ex","","28"
"Cinderace ex","","157"
"Cinderace ex","","163"
"Cinderace V","","35"
"Cinderace V","","178"
"Cinderace V","","18"
"Cinderace V","","43"
"Cinderace V","","44"
"Cinderace V","","SWSH015"
"Cinderace VMAX","","36"
"Cinderace VMAX","","194"
"Cinderace VMAX","","19"
"Cinderace VMAX","","45"
"Cinnabar City Gym","","113"
"Ciphermaniac's Codebreaking","","145"
"Ciphermaniac's Codebreaking","","198"
"Ciphermaniac's Codebreaking","","104"
"Circhester Bath","","150"
"Clamperl","","64"
"Clamperl","","51"
"Clamperl","","58"
"Clamperl","","41"
"Clamperl","","54"
"Clamperl","","195"
"Clamperl","","65"
"Clamperl","","49"
"Clauncher","","37"
"Clauncher","","25"
"Clauncher","","49"
"Clauncher","","205"
"Clauncher","","74"
"Clauncher","","15"
"Clauncher","","33"
"Clauncher","","23"
"Clavell","","177"
"Clavell","","249"
"Claw Fossil","","138"
"Claw Fossil","","78"
"Claw Fossil","","91"
"Claw Fossil","","84"
"Claw Fossil","","90"
"Claw Fossil Anorith","","100"
"Clawitzer","","38"
"Clawitzer","","141"
"Clawitzer","","26"
"Clawitzer","","50"
"Clawitzer","","75"
"Clawitzer","","34"
"Clawitzer","","24"
"Clawitzer","","XY146"
"Clawitzer BREAK","","35"
"Clay","","188"
"Claydol","","64"
"Claydol","","15"
"Claydol","","38"
"Claydol","","2"
"Claydol","","31"
"Claydol","","5"
"Claydol","","24"
"Claydol","","22"
"Claydol","","79"
"Claydol","","95"
"Claydol","","103"
"Claydol","","94"
"Claydol","","58"
"Claydol","","145"
"Claydol","","59"
"Claydol","","33"
"Claydol ex","","93"
"Cleansing Gloves","","136"
"Clefable","","1"
"Clefable","","17"
"Clefable","","5"
"Clefable","","98"
"Clefable","","22"
"Clefable","","7"
"Clefable","","41"
"Clefable","","36"
"Clefable","","51"
"Clefable","","3"
"Clefable","","75"
"Clefable","","133"
"Clefable","","40"
"Clefable","","89"
"Clefable","","79"
"Clefable","","63"
"Clefable","","64"
"Clefable","","54"
"Clefable","","71"
"Clefable","","82"
"Clefable ex","","106"
"Clefable ex","","82"
"Clefairy","","5"
"Clefairy","","6"
"Clefairy","","97"
"Clefairy","","54"
"Clefairy","","77"
"Clefairy","","83"
"Clefairy","","101"
"Clefairy","","53"
"Clefairy","","59"
"Clefairy","","50"
"Clefairy","","60"
"Clefairy","","74"
"Clefairy","","30"
"Clefairy","","132"
"Clefairy","","38"
"Clefairy","","39"
"Clefairy","","144"
"Clefairy","","88"
"Clefairy","","81"
"Clefairy","","35"
"Clefairy","","78"
"Clefairy","","62"
"Clefairy","","63"
"Clefairy","","69"
"Clefairy","","70"
"Clefairy Doll","","70"
"Cleffa","","31"
"Cleffa","","20"
"Cleffa","","24"
"Cleffa","","78"
"Cleffa","","48"
"Cleffa","","21"
"Cleffa","","17"
"Cleffa","","HGSS12"
"Cleffa","","131"
"Cleffa","","80"
"Cleffa","","202"
"Cleffa","","150"
"Cleffa","","37"
"Cleffa","","95"
"Clemont","","59"
"Clemont's Quick Wit","","167"
"Clemont's Quick Wit","","229"
"Clemont's Quick Wit","","243"
"Clive","","78"
"Clive","","227"
"Clive","","236"
"Clobbopus","","51"
"Clobbopus","","112"
"Clobbopus","","207"
"Clobbopus","","111"
"Clobbopus","","100"
"Clobbopus","","SV072"
"Clobbopus","","91"
"Clobbopus","","152"
"Cloyster","","32"
"Cloyster","","47"
"Cloyster","","8"
"Cloyster","","42"
"Cloyster","","20"
"Cloyster","","34"
"Cloyster","","91"
"Cloyster","","41"
"Cloyster","","51"
"Cloyster","","24"
"Cloyster δ","","14"
"Coach Trainer","","192"
"Coach Trainer","","233"
"Coalossal","","120"
"Coalossal","","95"
"Coalossal","","107"
"Coalossal","","198"
"Coalossal","","SV069"
"Coalossal","","80"
"Coalossal","","SWSH024"
"Coalossal","","SWSH054"
"Coalossal V","","98"
"Coalossal V","","173"
"Coalossal VMAX","","99"
"Coalossal VMAX","","189"
"Coating Metal Energy","","163"
"Cobalion","","91"
"Cobalion","","77"
"Cobalion","","84"
"Cobalion","","100"
"Cobalion","","BW72"
"Cobalion","","129"
"Cobalion","","126"
"Cobalion","","114"
"Cobalion","","74"
"Cobalion","","66"
"Cobalion","","144"
"Cobalion-EX","","93"
"Cobalion-EX","","133"
"Cobalion-GX","","106"
"Cobalion-GX","","168"
"Cobalion-GX","","189"
"Cofagrigus","","46"
"Cofagrigus","","47"
"Cofagrigus","","52"
"Cofagrigus","","56"
"Cofagrigus","","57"
"Cofagrigus","","40"
"Cofagrigus","","123"
"Cofagrigus","","100"
"Cofagrigus","","83"
"Cofagrigus ex","","76"
"Cofagrigus ex","","224"
"Colbur Berry","","168"
"Collapsed Stadium","","215"
"Collapsed Stadium","","137"
"Colress","","118"
"Colress","","135"
"Colress Machine","","119"
"Colress's Experiment","","155"
"Colress's Experiment","","190"
"Colress's Experiment","","205"
"Colress's Experiment","","GG59"
"Colress's Tenacity","","57"
"Colress's Tenacity","","87"
"Combee","","4"
"Combee","","79"
"Combee","","59"
"Combee","","57"
"Combee","","44"
"Combee","","71"
"Combee","","99"
"Combee","","31"
"Combee","","8"
"Combee","","11"
"Combee","","9"
"Combusken","","16"
"Combusken","","35"
"Combusken","","27"
"Combusken","","28"
"Combusken","","39"
"Combusken","","31"
"Combusken","","29"
"Combusken","","25"
"Combusken","","9"
"Combusken","","45"
"Combusken","","7"
"Combusken","","6"
"Combusken","","5"
"Combusken","","41"
"Combusken","","23"
"Combusken","","2"
"Combusken","","13"
"Comfey","","93"
"Comfey","","63"
"Comfey","","79"
"Comfey","","GG14"
"Comfey","","SWSH242"
"Community Center","","146"
"Computer Error","","16"
"Computer Search","","71"
"Computer Search","","101"
"Computer Search","","137"
"Conductive Quarry","","82"
"Conkeldurr","","64"
"Conkeldurr","","65"
"Conkeldurr","","81"
"Conkeldurr","","105"
"Conkeldurr","","75"
"Conkeldurr","","67"
"Conkeldurr","","49"
"Conkeldurr","","127"
"Conkeldurr V","","40"
"Conkeldurr V","","73"
"Conkeldurr V","","74"
"Cook","","147"
"Cook","","TG25"
"Cook","","228"
"Cool Porygon","","15"
"Copperajah","","42"
"Copperajah","","110"
"Copperajah","","137"
"Copperajah","","132"
"Copperajah","","SV091"
"Copperajah","","192"
"Copperajah ex","","150"
"Copperajah ex","","245"
"Copperajah V","","136"
"Copperajah V","","187"
"Copperajah V","","SWSH030"
"Copperajah VMAX","","137"
"Copperajah VMAX","","199"
"Copycat","","77"
"Copycat","","138"
"Copycat","","73"
"Copycat","","83"
"Copycat","","90"
"Copycat","","127"
"Copycat","","163"
"Copycat","","143"
"Copycat","","200"
"Copycat","","222"
"Cornerstone Mask Ogerpon","","111"
"Cornerstone Mask Ogerpon ex","","112"
"Cornerstone Mask Ogerpon ex","","199"
"Cornerstone Mask Ogerpon ex","","215"
"Cornerstone Mask Ogerpon ex","","58"
"Cornerstone Mask Ogerpon ex","","160"
"Corphish","","89"
"Corphish","","62"
"Corphish","","63"
"Corphish","","52"
"Corphish","","53"
"Corphish","","54"
"Corphish","","57"
"Corphish","","33"
"Corphish","","100"
"Corphish","","24"
"Corphish","","47"
"Corphish","","38"
"Corphish","","32"
"Corphish","","42"
"Corsola","","84"
"Corsola","","102"
"Corsola","","37"
"Corsola","","32"
"Corsola","","13"
"Corsola","","36"
"Corsola","","27"
"Corsola","","29"
"Corviknight","","148"
"Corviknight","","135"
"Corviknight","","156"
"Corviknight","","SV089"
"Corviknight","","190"
"Corviknight V","","TG18"
"Corviknight V","","109"
"Corviknight V","","156"
"Corviknight V","","SWSH200"
"Corviknight VMAX","","TG19"
"Corviknight VMAX","","110"
"Corviknight VMAX","","171"
"Corvisquire","","165"
"Corvisquire","","151"
"Corvisquire","","155"
"Corvisquire","","SV102"
"Corvisquire","","220"
"Cosmoem","","14"
"Cosmoem","","65"
"Cosmoem","","101"
"Cosmoem","","61"
"Cosmoem","","70"
"Cosmog","","13"
"Cosmog","","6"
"Cosmog","","64"
"Cosmog","","100"
"Cosmog","","99"
"Cosmog","","60"
"Cosmog","","69"
"Cosmog","","SM42"
"Cottonee","","9"
"Cottonee","","10"
"Cottonee","","14"
"Cottonee","","4"
"Cottonee","","90"
"Cottonee","","139"
"Cottonee","","143"
"Cottonee","","147"
"Cottonee","","34"
"Cottonee","","7"
"Cottonee","","5"
"Cottonee","","75"
"Cottonee","","70"
"Cottonee","","55"
"Counter Catcher","","91"
"Counter Catcher","","120"
"Counter Catcher","","160"
"Counter Catcher","","264"
"Counter Energy","","100"
"Counter Energy","","122"
"Counter Gain","","186"
"Counter Gain","","259"
"Counter Gain","","170"
"Counter Gain","","230"
"Counter Gain","","169"
"Counter Gain","","249"
"Counterattack Claws","","97"
"Cover Fossil","","79"
"Cover Fossil","","90"
"Crabominable","","43"
"Crabominable","","105"
"Crabominable","","122"
"Crabominable","","74"
"Crabominable","","SM47"
"Crabominable","","115"
"Crabominable","","42"
"Crabominable","","149"
"Crabominable","","134"
"Crabominable","","85"
"Crabominable V","","76"
"Crabominable V","","248"
"Crabrawler","","7"
"Crabrawler","","72"
"Crabrawler","","104"
"Crabrawler","","121"
"Crabrawler","","73"
"Crabrawler","","114"
"Crabrawler","","87"
"Crabrawler","","84"
"Cradily","","4"
"Cradily","","21"
"Cradily","","3"
"Cradily","","7"
"Cradily","","11"
"Cradily","","6"
"Cradily ex","","90"
"Cradily δ","","2"
"Cram-o-matic","","229"
"Cramorant","","58"
"Cramorant","","176"
"Cramorant","","137"
"Cramorant","","62"
"Cramorant","","50"
"Cramorant","","51"
"Cramorant","","40"
"Cramorant","","28"
"Cramorant","","SV030"
"Cramorant V","","155"
"Cramorant V","","198"
"Cramorant V","","54"
"Cramorant V","","SWSH086"
"Cramorant VMAX","","55"
"Cranidos","","43"
"Cranidos","","DP07"
"Cranidos","","46"
"Cranidos","","64"
"Cranidos","","76"
"Cranidos","","SWSH274"
"Crasher Wake","","104"
"Crasher Wake","","129"
"Crawdaunt","","22"
"Crawdaunt","","3"
"Crawdaunt","","13"
"Crawdaunt","","6"
"Crawdaunt","","85"
"Crawdaunt","","25"
"Crawdaunt","","48"
"Crawdaunt","","39"
"Crawdaunt","","33"
"Crawdaunt","","92"
"Crawdaunt ex","","99"
"Crawdaunt G","","23"
"Cresselia","","2"
"Cresselia","","DP51"
"Cresselia","","39"
"Cresselia","","87"
"Cresselia","","59"
"Cresselia","","21"
"Cresselia","","71"
"Cresselia","","74"
"Cresselia","","64"
"Cresselia","","228"
"Cresselia","","SWSH114"
"Cresselia","","70"
"Cresselia LV.X","","103"
"Cresselia-EX","","67"
"Cresselia-EX","","143"
"Crispin","","133"
"Crispin","","164"
"Crispin","","105"
"Crispin","","171"
"Croagunk","","62"
"Croagunk","","64"
"Croagunk","","65"
"Croagunk","","78"
"Croagunk","","60"
"Croagunk","","101"
"Croagunk","","61"
"Croagunk","","13"
"Croagunk","","7"
"Croagunk","","54"
"Croagunk","","56"
"Croagunk","","63"
"Croagunk","","130"
"Croagunk","","114"
"Croagunk","","23"
"Croagunk","","123"
"Croagunk","","109"
"Croagunk","","165"
"Croagunk","","SWSH245"
"Croagunk","","58"
"Crobat","","55"
"Crobat","","BW51"
"Crobat","","23"
"Crobat","","6"
"Crobat","","147"
"Crobat","","H5"
"Crobat","","3"
"Crobat","","14"
"Crobat","","84"
"Crobat","","4"
"Crobat","","56"
"Crobat","","66"
"Crobat","","112"
"Crobat","","29"
"Crobat","","105"
"Crobat","","91"
"Crobat","","33"
"Crobat BREAK","","XY181"
"Crobat ex","","96"
"Crobat G","","47"
"Crobat V","","TG20"
"Crobat V","","104"
"Crobat V","","182"
"Crobat V","","44"
"Crobat V","","SWSH098"
"Crobat V","","SWSH110"
"Crobat VMAX","","45"
"Crobat VMAX","","SWSH099"
"Crobat δ","","2"
"Crocalor","","37"
"Crocalor","","36"
"Crocalor","","202"
"Crocalor","","24"
"Crocalor","","30"
"Crocalor","","80"
"Croconaw","","41"
"Croconaw","","44"
"Croconaw","","74"
"Croconaw","","38"
"Croconaw","","42"
"Croconaw","","31"
"Croconaw","","32"
"Croconaw","","19"
"Croconaw","","23"
"Croconaw","","40"
"Croconaw","","56"
"Croconaw","","16"
"Croconaw δ","","27"
"Cross Switcher","","230"
"Crossceiver","","231"
"Crushing Gloves","","133"
"Crushing Hammer","","111"
"Crushing Hammer","","92"
"Crushing Hammer","","60"
"Crushing Hammer","","115"
"Crushing Hammer","","166"
"Crushing Hammer","","168"
"Crushing Hammer","","159"
"Crushing Hammer","","125"
"Crushing Hammer","","34"
"Crustle","","14"
"Crustle","","7"
"Crustle","","8"
"Crustle","","85"
"Crustle","","11"
"Crustle","","12"
"Crustle","","186"
"Crustle","","183"
"Crustle","","52"
"Crustle","","130"
"Cryogonal","","32"
"Cryogonal","","33"
"Cryogonal","","46"
"Cryogonal","","30"
"Cryogonal","","55"
"Cryogonal","","47"
"Cryogonal","","43"
"Cryogonal","","27"
"Cryogonal","","111"
"Crystal Beach","","75"
"Crystal Cave","","144"
"Crystal Cave","","230"
"Crystal Edge","","138"
"Crystal Energy","","146"
"Crystal Shard","","122"
"Crystal Shard","","76"
"Crystal Shard","","85"
"Crystal Wall","","139"
"Cubchoo","","28"
"Cubchoo","","29"
"Cubchoo","","36"
"Cubchoo","","40"
"Cubchoo","","61"
"Cubchoo","","53"
"Cubchoo","","48"
"Cubchoo","","42"
"Cubchoo","","21"
"Cubchoo","","25"
"Cubchoo","","109"
"Cubone","","50"
"Cubone","","70"
"Cubone","","60"
"Cubone","","90"
"Cubone","","103"
"Cubone","","72"
"Cubone","","40"
"Cubone","","51"
"Cubone","","7"
"Cubone","","105"
"Cubone","","37"
"Cubone","","52"
"Cubone","","57"
"Cubone","","104"
"Cubone","","76"
"Cubone","","69"
"Cubone","","77"
"Cufant","","149"
"Cufant","","41"
"Cufant","","76"
"Cufant","","109"
"Cufant","","136"
"Cufant","","131"
"Cufant","","49"
"Cufant","","SV090"
"Cufant","","191"
"Curse Powder","","80"
"Cursed Duster","","161"
"Cursed Shovel","","157"
"Cursed Stone","","72"
"Custom Catcher","","171"
"Custom Catcher","","231"
"Cutiefly","","10"
"Cutiefly","","11"
"Cutiefly","","92"
"Cutiefly","","95"
"Cutiefly","","145"
"Cutiefly","","75"
"Cutiefly","","172"
"Cutiefly","","78"
"Cycling Road","","157"
"Cyclizar","","163"
"Cyclizar","","164"
"Cyclizar","","157"
"Cyclizar","","215"
"Cyclizar","","70"
"Cyclizar","","195"
"Cyclizar","","127"
"Cyclizar","","96"
"Cyclizar ex","","159"
"Cyclizar ex","","228"
"Cyclizar ex","","18"
"Cyclone Energy","","94"
"Cyclone Energy","","143"
"Cyclone Energy","","99"
"Cyclone Energy","","90"
"Cyllene","","138"
"Cyllene","","183"
"Cyllene","","201"
"Cyndaquil","","55"
"Cyndaquil","","79"
"Cyndaquil","","104"
"Cyndaquil","","105"
"Cyndaquil","","54"
"Cyndaquil","","59"
"Cyndaquil","","61"
"Cyndaquil","","10"
"Cyndaquil","","56"
"Cyndaquil","","57"
"Cyndaquil","","39"
"Cyndaquil","","40"
"Cyndaquil","","23"
"Cyndaquil","","SWSH221"
"Cyndaquil","","18"
"Cyndaquil δ","","45"
"Cynthia","","119"
"Cynthia","","119a"
"Cynthia","","148"
"Cynthia","","SV82"
"Cynthia & Caitlin","","189"
"Cynthia & Caitlin","","228"
"Cynthia's Ambition","","GG60"
"Cynthia's Ambition","","138"
"Cynthia's Ambition","","169"
"Cynthia's Ambition","","178"
"Cynthia's Feebas","","52"
"Cynthia's Feelings","","131"
"Cynthia's Gabite","","110"
"Cynthia's Gabite","","103"
"Cynthia's Garchomp ex","","111"
"Cynthia's Garchomp ex","","104"
"Cynthia's Garchomp ex","","215"
"Cynthia's Garchomp ex","","232"
"Cynthia's Garchomp ex","","241"
"Cynthia's Gible","","109"
"Cynthia's Gible","","102"
"Cynthia's Guidance","","136"
"Cynthia's Milotic","","53"
"Cynthia's Power Weight","","162"
"Cynthia's Roselia","","7"
"Cynthia's Roserade","","8"
"Cynthia's Roserade","","184"
"Cynthia's Spiritomb","","133"
"Cynthia's Spiritomb","","244"
"Cynthia's Spiritomb","","129"
"Cyrano","","170"
"Cyrano","","230"
"Cyrus ◇","","120"
"Cyrus's Conspiracy","","105"
"Cyrus's Initiative","","137"
"Dachsbun","","99"
"Dachsbun","","39"
"Dachsbun","","161"
"Dachsbun ex","","67"
"Dachsbun ex","","160"
"Dachsbun ex","","169"
"Daisy's Help","","158"
"Daisy's Help","","195"
"Damage Mover","","58"
"Damage Pump","","156"
"Dan","","158"
"Dana","","137"
"Dana","","173"
"Dancer","","232"
"Dancer","","259"
"Dancer","","274"
"Dangerous Drill","","138"
"Dangerous Drill","","192"
"Dangerous Energy","","82"
"Dangerous Laser","","58"
"Dark Alakazam","","1"
"Dark Alakazam","","18"
"Dark Ampharos","","2"
"Dark Ampharos","","1"
"Dark Arbok","","2"
"Dark Arbok","","19"
"Dark Arbok","","29"
"Dark Ariados","","30"
"Dark Ariados","","17"
"Dark Blastoise","","3"
"Dark Blastoise","","20"
"Dark Blastoise","","4"
"Dark Celebi","","4"
"Dark Charizard","","4"
"Dark Charizard","","21"
"Dark Charmeleon","","32"
"Dark City","","193"
"Dark Claw","","92"
"Dark Crobat","","3"
"Dark Crobat","","2"
"Dark Croconaw","","32"
"Dark Donphan","","3"
"Dark Dragonair","","33"
"Dark Dragonair","","38"
"Dark Dragonair","","31"
"Dark Dragonair","","32"
"Dark Dragonite","","5"
"Dark Dragonite","","22"
"Dark Dragonite","","15"
"Dark Dugtrio","","6"
"Dark Dugtrio","","23"
"Dark Electrode","","34"
"Dark Electrode","","4"
"Dark Espeon","","4"
"Dark Exeggutor","","33"
"Dark Feraligatr","","5"
"Dark Flaaffy","","33"
"Dark Flaaffy","","34"
"Dark Flareon","","35"
"Dark Forretress","","35"
"Dark Gengar","","6"
"Dark Gloom","","36"
"Dark Golbat","","7"
"Dark Golbat","","24"
"Dark Golbat","","34"
"Dark Golduck","","37"
"Dark Golduck","","35"
"Dark Gyarados","","8"
"Dark Gyarados","","25"
"Dark Gyarados","","36"
"Dark Haunter","","36"
"Dark Houndoom","","5"
"Dark Houndoom","","37"
"Dark Houndoom","","7"
"Dark Hypno","","9"
"Dark Hypno","","26"
"Dark Hypno","","6"
"Dark Ivysaur","","6"
"Dark Jolteon","","38"
"Dark Kadabra","","39"
"Dark Machamp","","10"
"Dark Machamp","","27"
"Dark Machoke","","40"
"Dark Magcargo","","38"
"Dark Magcargo","","18"
"Dark Magneton","","11"
"Dark Magneton","","28"
"Dark Magneton","","39"
"Dark Marowak","","7"
"Dark Metal Energy","","97"
"Dark Metal Energy","","94"
"Dark Muk","","41"
"Dark Muk","","16"
"Dark Octillery","","8"
"Dark Octillery","","62"
"Dark Omanyte","","37"
"Dark Omastar","","19"
"Dark Patch","","93"
"Dark Patch","","139"
"Dark Patch","","216"
"Dark Persian","","42"
"Dark Persian","","6"
"Dark Persian","","17"
"Dark Porygon2","","8"
"Dark Primeape","","43"
"Dark Pupitar","","40"
"Dark Pupitar","","41"
"Dark Pupitar","","38"
"Dark Quilava","","39"
"Dark Raichu","","83"
"Dark Raichu","","7"
"Dark Rapidash","","44"
"Dark Raticate","","51"
"Dark Raticate","","17"
"Dark Sandslash","","18"
"Dark Scizor","","9"
"Dark Slowbro","","12"
"Dark Slowbro","","29"
"Dark Slowbro","","8"
"Dark Slowking","","9"
"Dark Slowking","","20"
"Dark Steelix","","10"
"Dark Sylveon V","","SWSH134"
"Dark Typhlosion","","10"
"Dark Tyranitar","","19"
"Dark Tyranitar","","20"
"Dark Tyranitar","","11"
"Dark Ursaring","","21"
"Dark Vaporeon","","45"
"Dark Vaporeon","","9"
"Dark Venusaur","","7"
"Dark Vileplume","","13"
"Dark Vileplume","","30"
"Dark Wartortle","","46"
"Dark Wartortle","","39"
"Dark Weezing","","14"
"Dark Weezing","","31"
"Dark Weezing","","42"
"Dark Wigglytuff","","40"
"Darkness Cube 01","","119"
"Darkness Energy","","111"
"Darkness Energy","","86"
"Darkness Energy","","94"
"Darkness Energy","","129"
"Darkness Energy","","119"
"Darkness Energy","","93"
"Darkness Energy","","158"
"Darkness Energy","","142"
"Darkness Energy","","96"
"Darkness Energy","","103"
"Darkness Energy","","87"
"Darkness Energy","","81"
"Darkness Energy","","121"
"Darkness Energy","","79"
"Darkness Energy","","104"
"Darkness Energy","","99"
"Darkness Energy","","170"
"Darkness Energy","","168"
"Darkness Energy","","236"
"Darkness Energy","","138"
"Darkness Energy","","97"
"Darkrai","","BW73"
"Darkrai","","3"
"Darkrai","","4"
"Darkrai","","DP24"
"Darkrai","","DP52"
"Darkrai","","87"
"Darkrai","","136"
"Darkrai","","120"
"Darkrai","","105"
"Darkrai","","167"
"Darkrai","","XY22"
"Darkrai","","XY114"
"Darkrai","","XY194"
"Darkrai & Cresselia LEGEND","","99"
"Darkrai & Cresselia LEGEND","","100"
"Darkrai ◇","","77"
"Darkrai ex","","110"
"Darkrai G","","3"
"Darkrai LV.X","","104"
"Darkrai LV.X","","DP19"
"Darkrai V","","98"
"Darkrai VSTAR","","99"
"Darkrai VSTAR","","GG50"
"Darkrai-EX","","88"
"Darkrai-EX","","63"
"Darkrai-EX","","107"
"Darkrai-EX","","BW46"
"Darkrai-EX","","74"
"Darkrai-EX","","118"
"Darkrai-GX","","88"
"Darkrai-GX","","88a"
"Darkrai-GX","","139"
"Darkrai-GX","","158"
"Darkrai-GX","","SV70"
"Darmanitan","","25"
"Darmanitan","","21"
"Darmanitan","","60"
"Darmanitan","","28"
"Darmanitan","","16"
"Darmanitan","","24"
"Darmanitan","","9"
"Darmanitan","","35"
"Darmanitan","","14"
"Darmanitan","","98"
"Dartrix","","10"
"Dartrix","","19"
"Dartrix","","SV3"
"Dartrix","","14"
"Dartrix","","4"
"Dartrix","","20"
"Dartrix","","12"
"Dartrix","","7"
"Dartrix","","SV002"
"Darumaka","","23"
"Darumaka","","24"
"Darumaka","","20"
"Darumaka","","17"
"Darumaka","","27"
"Darumaka","","BW18"
"Darumaka","","15"
"Darumaka","","8"
"Darumaka","","34"
"Darumaka","","13"
"Darumaka","","97"
"Dashing Pouch","","92"
"Dawn","","87"
"Dawn","","118"
"Dawn","","129"
"Dawn Stadium","","79"
"Dawn Wings Necrozma","","SM106"
"Dawn Wings Necrozma","","SM123"
"Dawn Wings Necrozma-GX","","63"
"Dawn Wings Necrozma-GX","","143"
"Dawn Wings Necrozma-GX","","161"
"Dawn Wings Necrozma-GX","","SM101"
"Decidueye","","11"
"Decidueye","","20"
"Decidueye","","SM55"
"Decidueye","","5"
"Decidueye","","13"
"Decidueye","","8"
"Decidueye","","SV003"
"Decidueye","","SWSH035"
"Decidueye ex","","15"
"Decidueye-GX","","12"
"Decidueye-GX","","146"
"Decidueye-GX","","SV47"
"Decidueye-GX","","SM37"
"Dedenne","","RC10"
"Dedenne","","10"
"Dedenne","","145"
"Dedenne","","88"
"Dedenne","","84"
"Dedenne","","142"
"Dedenne","","94"
"Dedenne","","95"
"Dedenne","","36"
"Dedenne","","87"
"Dedenne","","85"
"Dedenne","","78"
"Dedenne","","77"
"Dedenne","","SV051"
"Dedenne","","67"
"Dedenne","","TG07"
"Dedenne","","SWSH080"
"Dedenne","","34"
"Dedenne","","70"
"Dedenne","","57"
"Dedenne ex","","93"
"Dedenne ex","","239"
"Dedenne-GX","","57"
"Dedenne-GX","","195"
"Dedenne-GX","","195a"
"Dedenne-GX","","219"
"Deduction Kit","","171"
"Deerling","","13"
"Deerling","","15"
"Deerling","","6"
"Deerling","","91"
"Deerling","","16"
"Deerling","","165"
"Deerling","","11"
"Deerling","","8"
"Defender","","80"
"Defender","","109"
"Defender","","72"
"Defiance Band","","169"
"Defiance Vest","","162"
"Deino","","97"
"Deino","","77"
"Deino","","93"
"Deino","","94"
"Deino","","75"
"Deino","","76"
"Deino","","65"
"Deino","","146"
"Deino","","60"
"Deino","","138"
"Deino","","117"
"Deino","","108"
"Deino","","113"
"Deino","","84"
"Deino","","72"
"Delcatty","","114"
"Delcatty","","23"
"Delcatty","","5"
"Delcatty","","29"
"Delcatty","","4"
"Delcatty","","8"
"Delcatty","","34"
"Delcatty","","166"
"Delcatty","","121"
"Delcatty","","SM132"
"Delcatty","","131"
"Delcatty","","142"
"Delcatty","","211"
"Delcatty","","3"
"Delcatty","","105"
"Delcatty ex","","91"
"Delibird","","38"
"Delibird","","36"
"Delibird","","49"
"Delibird","","21"
"Delibird","","39"
"Delibird","","105"
"Delibird","","152"
"Delibird","","5"
"Delibird","","6"
"Delibird","","26"
"Delibird","","57"
"Delibird","","46"
"Delibird","","32"
"Delinquent","","98"
"Delinquent","","98a"
"Delinquent","","98b"
"Delivery Drone","","178"
"Delphox","","17"
"Delphox","","27"
"Delphox","","10"
"Delphox","","26"
"Delphox","","13"
"Delphox BREAK","","14"
"Delphox V","","27"
"Delphox V","","173"
"Delphox-EX","","XY19"
"Deluxe Bomb","","134"
"Dendra","","179"
"Dendra","","250"
"Dendra","","266"
"Deoxys","","2"
"Deoxys","","SL1"
"Deoxys","","16"
"Deoxys","","17"
"Deoxys","","18"
"Deoxys","","67"
"Deoxys","","68"
"Deoxys","","69"
"Deoxys","","SM164"
"Deoxys","","74"
"Deoxys","","GG12"
"Deoxys","","120"
"Deoxys","","SWSH170"
"Deoxys","","33"
"Deoxys Attack Forme","","24"
"Deoxys Defense Forme","","25"
"Deoxys ex","","97"
"Deoxys ex","","98"
"Deoxys ex","","99"
"Deoxys ex","","93"
"Deoxys ex","","17"
"Deoxys Normal Forme","","1"
"Deoxys Speed Forme","","26"
"Deoxys V","","SWSH266"
"Deoxys VMAX","","GG45"
"Deoxys VMAX","","SWSH267"
"Deoxys VSTAR","","GG46"
"Deoxys VSTAR","","SWSH268"
"Deoxys δ","","3"
"Deoxys δ","","4"
"Deoxys δ","","5"
"Deoxys δ","","6"
"Deoxys δ","","2"
"Deoxys-EX","","53"
"Deoxys-EX","","111"
"Deoxys-EX","","BW82"
"Department Store Girl","","85"
"Desert Ruins","","88"
"Desert Shaman","","123"
"Detective Pikachu","","10"
"Detective Pikachu","","SM170"
"Detective Pikachu","","SM190"
"Detective Pikachu","","SM194"
"Devolution Spray","","72"
"Devolution Spray","","113"
"Devolution Spray","","95"
"Devolution Spray","","76"
"Devolution Spray Z","","166"
"Devoured Field","","93"
"Dewgong","","25"
"Dewgong","","36"
"Dewgong","","40"
"Dewgong","","45"
"Dewgong","","7"
"Dewgong","","H6"
"Dewgong","","3"
"Dewgong","","22"
"Dewgong","","97"
"Dewgong","","24"
"Dewgong","","87"
"Dewgong","","34"
"Dewgong","","16"
"Dewgong","","29"
"Dewgong δ","","15"
"Dewott","","29"
"Dewott","","30"
"Dewott","","38"
"Dewott","","40"
"Dewott","","5"
"Dewott","","22"
"Dewott","","106"
"Dewott","","42"
"Dewott","","34"
"Dewott","","31"
"Dewpider","","45"
"Dewpider","","48"
"Dewpider","","64"
"Dewpider","","14"
"Dewpider","","16"
"Dewpider","","32"
"Dewpider","","47"
"Dewpider","","19"
"Dhelmise","","18"
"Dhelmise","","20"
"Dhelmise","","98"
"Dhelmise","","59"
"Dhelmise","","22"
"Dhelmise","","SM53"
"Dhelmise","","19"
"Dhelmise","","10"
"Dhelmise","","70"
"Dhelmise V","","9"
"Dhelmise V","","187"
"Dhelmise VMAX","","10"
"Dialga","","20"
"Dialga","","3"
"Dialga","","SL2"
"Dialga","","1"
"Dialga","","16"
"Dialga","","4"
"Dialga","","DP26"
"Dialga","","DP49"
